Title,Genre,Language,Release Date,Country,Budget (M USD),Lifetime Gross (M USD),Number of Screens,IMDb Rating,Rotten Tomatoes Score,Audience Reviews,Marketing Budget (M USD),Hit or Flop
Instincta,Thriller,Japanese,42173,France,124.06,505.76,576,8.3,62,379582,21.14,Collection not met
Shadea,Thriller,Japanese,44072,China,266.12,505.72,3384,9.9,45,140726,120.49,Collection not met
Hostagea,Animation,Hindi,41126,Japan,161.59,504.82,1188,7.2,74,269359,24.92,Collection not met
The Hoursa,Romance,Japanese,43291,USA,122.17,504.48,1708,6.4,33,261429,45.19,Collection not met
Death to Smoochya,Sci-Fi,Hindi,45416,Germany,7.28,504.38,3410,5.6,37,311623,1.97,Collection not met
The Pink Panthera,Thriller,Hindi,42712,Japan,52.54,504.1,3723,6.6,64,136574,23.76,Collection not met
In the Name of the King: A Dungeon Siege Talea,Animation,German,45230,India,134.52,503.69,4826,5.9,60,228027,65.06,Collection not met
Equilibriuma,Thriller,Telugu,40194,China,228.38,502.45,2144,8.8,49,414159,32.9,Collection not met
War Horsea,Action,Telugu,44365,France,282.05,500.9,3338,4.5,80,458311,79.05,Collection not met
Big Troublea,Animation,French,40399,Germany,116.47,500.83,3323,7.3,96,16335,15.47,Collection not met
Top Hata,Action,Korean,41791,China,7.68,500.27,3913,4.5,32,40059,3.5,Collection not met
Million Dollar Arma,Action,German,40479,France,89.23,499.56,3025,6.9,79,309820,28.13,Collection not met
Hannaa,Action,Tamil,42947,UK,17.82,498.7,1724,9.5,25,423748,1.92,Collection not met
Warlock: The Armageddona,Comedy,Korean,40380,Japan,155.54,497.82,2157,4.3,61,202256,20,Collection not met
Halloween IIa,Drama,Spanish,44554,China,168.65,497.65,4280,7.3,72,332771,17.27,Collection not met
The Nutty Professora,Thriller,Korean,40214,France,62.94,497.52,2759,5.7,52,409348,9.86,Collection not met
The Mask of Zorroa,Drama,French,41695,China,280.42,497.5,618,5.8,89,249753,35.69,Collection not met
Scream 2a,Animation,Chinese,44000,South Korea,70.46,497.13,2041,7.2,64,460977,24.25,Collection not met
Whip Ita,Romance,Korean,42560,France,87.48,496.38,1522,4.9,56,11837,30.2,Collection not met
Chariots of Firea,Sci-Fi,English,44255,Japan,153.45,495.84,1314,4.8,67,498813,73.1,Collection not met
World Trade Centera,Action,Japanese,40713,India,53.39,495.73,849,4.7,57,313008,24.35,Collection not met
Space Cowboysa,Romance,Chinese,44623,France,291.84,494.82,3045,8.3,68,104969,130.13,Collection not met
The Purge: Election Yeara,Thriller,Chinese,43872,China,113.54,494.52,557,7.9,92,383827,18.43,Collection not met
500 Days of Summera,Drama,Telugu,40254,South Korea,237.78,493.41,1508,6.4,76,467968,117.44,Collection not met
Doomsdaya,Comedy,Telugu,45129,France,76.04,493.08,4121,9.5,52,163461,32.86,Collection not met
The Warlordsa,Animation,Chinese,40926,China,11,492.23,947,7.5,85,288186,4.65,Collection not met
Fantastic Foura,Sci-Fi,German,42386,Japan,175.65,491.99,3092,6.3,84,484803,82.72,Collection not met
Poltergeist IIIa,Sci-Fi,Chinese,43741,Germany,191.54,491.53,4805,4.1,77,393295,63.76,Collection not met
REDa,Romance,German,43124,India,37.56,491.4,2777,4.4,66,281656,8.84,Collection not met
Gangster's Paradise: Jerusalemaa,Romance,Telugu,45446,China,292.43,491.16,3406,7.6,96,23041,65.54,Collection not met
Clash of the Titansa,Adventure,French,44698,France,45.17,490.9,4695,5,46,113224,11.63,Collection not met
Six Days Seven Nightsa,Adventure,Spanish,45439,UK,231.13,490.3,4151,7,31,243810,53.34,Collection not met
The Tigger Moviea,Romance,Hindi,41707,USA,216.26,490.11,3666,7.2,98,400161,34.74,Collection not met
Parkera,Sci-Fi,English,43349,France,93.06,489.96,675,5.6,22,211977,21.93,Collection not met
All Is Losta,Romance,Telugu,41669,South Korea,118.72,489.82,4617,6.8,89,137911,50.23,Collection not met
The Claima,Romance,Tamil,45255,China,143.46,489.25,2189,9.5,79,142021,51.33,Collection not met
Last Vegasa,Action,English,44112,USA,278.02,488.99,995,7.7,94,285765,44.69,Collection not met
Tower Heista,Sci-Fi,Hindi,40952,France,260.58,487.99,3129,8.5,25,480087,59.65,Collection not met
Old Joya,Thriller,Korean,42554,India,31.54,487.57,4981,6.5,46,266590,10.6,Collection not met
Jack Ryan: Shadow Recruita,Comedy,German,43376,UK,176.14,487.09,3127,5.6,38,351610,85.18,Collection not met
Friday the 13th Part VII: The New Blooda,Animation,French,41193,USA,184.43,486.05,2103,10,61,127119,51.56,Collection not met
Showgirlsa,Comedy,Telugu,44007,South Korea,62.07,485.01,2243,4.4,46,134815,15.22,Collection not met
The Second Mothera,Comedy,Hindi,41468,France,122.57,484.62,2623,7.6,65,166594,32.19,Collection not met
Original Sina,Animation,English,41138,UK,221.7,483.88,3234,6.2,80,210470,24.77,Collection not met
Urban Legends: Final Cuta,Thriller,Japanese,45583,China,19.95,483.81,4165,5.9,50,360070,8.58,Collection not met
The Matrix Reloadeda,Drama,Chinese,43578,France,263.68,483.48,1554,6.8,26,228694,93.14,Collection not met
Held Upa,Drama,German,45238,France,188.16,483.3,1713,8.4,87,296992,67.29,Collection not met
Fruitvale Stationa,Drama,Spanish,41209,France,237.57,483.29,3558,5.6,22,462636,28.02,Collection not met
Hollow Mana,Adventure,Japanese,44813,China,52.66,482.96,3259,9.5,68,397755,6,Collection not met
Samsaraa,Action,Hindi,42721,India,237.84,482.32,1741,6.7,33,204999,77.88,Collection not met
The Mighty Macsa,Thriller,Japanese,45220,France,40.26,482.17,4711,8.5,48,433651,8.44,Collection not met
Four Brothersa,Horror,Chinese,44044,France,54.02,481.88,3604,4.6,25,161935,10.22,Collection not met
Psychoa,Thriller,Tamil,41163,Germany,254.86,481.77,3154,5.6,72,24832,74.22,Collection not met
Facing the Giantsa,Romance,Chinese,41244,Japan,216.4,481.76,752,8.8,46,198036,30.68,Collection not met
The Holy Girla,Comedy,French,41127,China,221.31,481.53,542,5.2,72,326957,97.12,Collection not met
A Fistful of Dollarsa,Romance,French,45033,India,51.88,481.41,3997,8.6,94,367663,20.28,Collection not met
Brokeback Mountaina,Animation,Korean,43083,South Korea,201.46,481.29,1253,9.5,54,5200,87.32,Collection not met
Hope Springsa,Adventure,Hindi,40398,France,21.17,480.62,2597,5.4,41,334514,4.01,Collection not met
Bicentennial Mana,Action,Chinese,44198,China,246.93,480.56,1382,8.9,39,11294,27.22,Collection not met
Unbrokena,Romance,Chinese,41542,Japan,252.1,479.96,977,9.8,45,10009,54.67,Collection not met
Who Killed the Electric Car?a,Thriller,German,42637,USA,54.31,479.96,4157,4.1,24,432730,10.58,Collection not met
Assault on Precinct 13a,Thriller,French,42609,Germany,291.21,479.8,1576,6.8,88,459784,117.68,Collection not met
Volcanoa,Drama,Spanish,45657,China,276.82,479.32,3849,5.3,40,78815,50.73,Collection not met
Couragea,Horror,Telugu,41605,Japan,116.84,479.1,4092,6.4,30,88549,52.33,Collection not met
National Treasurea,Adventure,French,42562,USA,268.1,478.75,1479,7.1,82,457348,100.78,Collection not met
Run All Nighta,Thriller,Hindi,45101,USA,138,478.48,4724,8.1,25,396645,57.98,Collection not met
Ondinea,Animation,Tamil,42631,Germany,94.5,478.37,4287,6.3,63,273105,30.09,Collection not met
Dylan Dog: Dead of Nighta,Thriller,French,43058,India,49.48,478.31,3527,4,52,418728,14.1,Collection not met
The Judgea,Romance,Korean,42443,Germany,212,478.23,2042,4.4,90,385491,32.14,Collection not met
Fizaa,Action,Hindi,42956,USA,65.49,477.39,4269,5,51,30226,15.55,Collection not met
Shattered Glassa,Action,Chinese,42869,South Korea,107.28,477.13,2019,8.9,72,490673,14.28,Collection not met
Exit Woundsa,Thriller,Tamil,43685,India,299.55,477.07,711,6.1,84,338259,117.18,Collection not met
Lethal Weapon 3a,Animation,Spanish,44588,UK,4.98,476.77,4097,10,87,164167,1.96,Collection not met
Sweet Home Alabamaa,Action,Korean,40703,India,281.02,475.92,3087,4.8,73,46543,48.89,Collection not met
13 Going on 30a,Comedy,Korean,42007,China,258.27,474.94,2585,9.2,46,99777,42.05,Collection not met
Jason Bournea,Adventure,Korean,45254,Japan,217.31,474.78,3358,7,22,48038,55.41,Collection not met
Anatomya,Sci-Fi,French,42571,China,19.2,474.38,2335,8.1,38,154588,7.16,Collection not met
Catch Me If You Cana,Horror,Chinese,40663,India,207.99,473.21,3423,8.7,95,395368,35.7,Collection not met
Loopera,Drama,Tamil,43006,Japan,113.93,472.36,1026,6.1,32,38616,28.51,Collection not met
How Higha,Animation,French,40221,China,95.82,469.72,3776,7.5,67,479564,10.47,Collection not met
The 6th Daya,Drama,Chinese,43188,Japan,249.72,469.6,718,6.8,74,335204,77.89,Collection not met
About Schmidta,Thriller,German,42276,Germany,271.78,469.53,1239,6.4,81,214287,85.31,Collection not met
The Great Raida,Drama,Spanish,44217,France,16.44,469.4,1687,6.2,51,159534,5.56,Collection not met
The Beacha,Romance,English,44369,Japan,230.96,468.9,4178,6.7,29,320134,67.12,Collection not met
Action Jacksona,Comedy,Chinese,42940,India,48.74,468.65,2294,4.9,92,350632,6.86,Collection not met
Rat Racea,Action,Chinese,43012,Japan,14.71,468.47,3249,5.3,81,241803,6.84,Collection not met
Point Breaka,Adventure,English,41137,France,92,467.83,4249,5.9,31,469793,23.73,Collection not met
Admissiona,Sci-Fi,French,43991,Germany,30.2,467.66,3419,8.7,40,267074,12.53,Collection not met
Firewalla,Action,German,40231,India,275.51,466.74,4254,9.7,53,106374,78.87,Collection not met
Away We Goa,Horror,Japanese,44319,Japan,113.31,466.7,1697,6.3,99,303443,20.86,Collection not met
The Circlea,Comedy,Korean,40772,Germany,172.96,466.43,3774,8.2,29,57888,66.53,Collection not met
Love and Other Catastrophesa,Adventure,English,42100,China,278,466.39,1014,5.3,86,384665,72.05,Collection not met
Rise of the Guardiansa,Romance,English,43776,UK,237.09,465.78,751,9.2,55,306101,31.58,Collection not met
Kill Bill: Vol. 2a,Sci-Fi,German,44580,India,178.59,463.14,4955,7.7,32,265074,81.35,Collection not met
The Polar Expressa,Comedy,Korean,41637,South Korea,206.14,463.09,1533,5.4,59,128238,28.93,Collection not met
Black Massa,Thriller,Telugu,40326,China,272.31,463.05,3763,8.8,43,416693,43.12,Collection not met
Hudson Hawka,Animation,Korean,45196,France,179.96,462.95,3141,8.5,47,209028,30.93,Collection not met
The Scorea,Action,Tamil,42209,UK,120.45,461.5,3649,8.1,74,76921,58.75,Collection not met
Timecopa,Drama,Hindi,43339,France,194.79,461.26,878,4.8,43,492198,36.61,Collection not met
America's Sweetheartsa,Sci-Fi,English,44037,Germany,276.47,459.4,978,5.4,69,314052,115.17,Collection not met
Supernovaa,Horror,Chinese,42476,South Korea,243.43,459.12,2706,4.7,95,57700,43.91,Collection not met
The Scarlet Lettera,Thriller,English,44496,South Korea,9.47,458.95,2795,6,93,187983,2.14,Collection not met
The Best of Mea,Romance,Telugu,41250,South Korea,128.85,457.83,4381,9.3,59,447402,33.93,Collection not met
Steela,Thriller,Korean,44579,USA,161.91,457.47,2960,5.7,83,487309,71.48,Collection not met
Sholem Aleichem: Laughing in the Darknessa,Thriller,Japanese,45294,France,24.02,456.41,2890,4.6,91,296855,4.8,Collection not met
"Dude, Where's My Car?a",Romance,Hindi,41074,South Korea,8.49,456.07,3242,6.6,23,103908,1,Collection not met
The Hills Have Eyes IIa,Sci-Fi,Tamil,41731,France,87.49,456.03,2056,8.6,84,395863,23.58,Collection not met
Ocean's Thirteena,Sci-Fi,Telugu,44908,South Korea,110.42,455.27,2055,6.2,32,364096,29.16,Collection not met
Mystic Pizzaa,Animation,Spanish,42983,USA,55.8,454.04,3472,4.8,88,160790,7.12,Collection not met
The Barbarian Invasionsa,Sci-Fi,French,45031,UK,28.99,453.76,762,6.2,70,375730,11.68,Collection not met
Heaven's Gatea,Horror,Japanese,41640,China,29.81,453.3,2909,6.3,53,13585,7.89,Collection not met
The Shadowa,Horror,Korean,41083,Germany,264.85,452.71,3336,5.1,78,387783,99.69,Collection not met
Romeo + Julieta,Horror,Japanese,41852,China,231.53,452.7,4414,6.9,91,222521,99.95,Collection not met
Lone Stara,Sci-Fi,Chinese,44999,China,266.44,452.17,773,9.7,32,275983,67.24,Collection not met
Event Horizona,Adventure,Hindi,40455,South Korea,167.35,451.69,3033,4.4,45,85145,29.78,Collection not met
The Tourista,Animation,Japanese,44026,UK,64.83,451.35,3979,5.1,64,105816,9.88,Collection not met
Dead Man on Campusa,Drama,English,41481,India,299.21,451.19,2914,8.9,85,459323,54.16,Collection not met
88 Minutesa,Adventure,Japanese,42466,Japan,182.86,450.79,3178,6.3,85,356329,32.38,Collection not met
Imagine Thata,Comedy,Telugu,43141,UK,194.43,450.1,3210,9.8,72,351794,64.96,Collection not met
Flippera,Sci-Fi,Tamil,41443,France,278.22,449.3,2068,9.2,85,129296,126.39,Collection not met
Days of Thundera,Adventure,Telugu,41556,USA,187.71,449.22,3322,6.9,72,332482,87.33,Collection not met
Down in the Valleya,Horror,Tamil,41809,UK,169.58,449.14,3924,7.2,89,167638,69.51,Collection not met
Goosebumpsa,Comedy,Telugu,45409,France,123.68,449,4632,8.9,85,100387,21.94,Collection not met
Killing Zoea,Comedy,English,43960,South Korea,58.24,448.63,745,8.3,74,242673,27.29,Collection not met
Serial Moma,Adventure,German,40768,USA,121.24,447.86,1195,4.4,54,393172,25.26,Collection not met
Unknowna,Adventure,Chinese,40540,South Korea,199.5,447.78,2077,5.8,85,99528,67.41,Collection not met
Winter's Bonea,Sci-Fi,Korean,40453,South Korea,104.86,447.73,4474,7.1,57,193460,24.85,Collection not met
Snow Daya,Animation,Korean,44460,Germany,3.91,447.59,1969,7.4,33,108035,0.75,Collection not met
"It's a Mad, Mad, Mad, Mad Worlda",Animation,German,44638,South Korea,51.3,447.15,4440,7.1,57,285105,8.97,Collection not met
Epic Moviea,Sci-Fi,Spanish,45523,India,88.5,446.41,2359,8.4,30,77628,25.92,Collection not met
Puss in Bootsa,Animation,Hindi,41655,South Korea,228.77,445.99,4693,9.2,65,433314,77.29,Collection not met
Men in Black 3a,Adventure,French,42441,India,105.68,445.59,4563,9.7,87,162024,14.96,Collection not met
The Swindlea,Drama,German,41263,Germany,28.85,444.25,3727,5.3,85,107757,14.09,Collection not met
The Last Dragona,Sci-Fi,Tamil,42986,UK,237.5,444.22,2442,8,100,388727,50.67,Collection not met
Superman IV: The Quest for Peacea,Drama,English,45325,Japan,283.42,443.93,2170,8.4,41,235362,108.71,Collection not met
Man of the Housea,Thriller,Chinese,44832,France,183.28,443.02,1333,9.4,80,116130,86.72,Collection not met
Warriors of Virtuea,Thriller,Japanese,41448,Japan,55.15,442.8,3241,6.4,84,451183,26.91,Collection not met
Phat Girlza,Drama,German,45031,South Korea,189.57,442.71,2015,8,85,148105,24.13,Collection not met
The Facultya,Horror,English,41205,USA,111.34,442.2,2169,4.8,39,152481,39.91,Collection not met
The Legend of Drunken Mastera,Drama,English,42065,UK,99.24,440.47,4660,4.7,53,417585,44.93,Collection not met
Wonderlanda,Romance,German,42534,South Korea,64.11,439.76,2809,9.1,44,319239,27.04,Collection not met
Men of Honora,Animation,Tamil,40605,USA,253.24,439.53,4042,8,80,309966,44.79,Collection not met
Hoffaa,Drama,German,44866,France,250.01,439.44,3775,4.5,52,213730,51.79,Collection not met
Turbulencea,Thriller,French,40388,India,288.49,439.42,3507,7.2,95,137878,135.05,Collection not met
Heaven Is for Reala,Horror,French,42242,China,248.44,439,2306,6.5,67,258763,45.97,Collection not met
The Hitchhiker's Guide to the Galaxya,Sci-Fi,Chinese,43290,Japan,77.55,438.34,3702,8.1,26,196567,20.41,Collection not met
L'auberge espagnolea,Horror,French,44881,USA,226.81,438.3,3104,5.9,75,301180,103.57,Collection not met
Trees Loungea,Drama,English,45633,South Korea,137.03,438.12,2262,6.3,32,321790,65.98,Collection not met
Apollo 18a,Horror,Spanish,40528,India,273.1,437.57,4783,9.9,45,405614,106.83,Collection not met
An Unfinished Lifea,Drama,Spanish,41573,India,279.03,436.57,2057,6.9,96,112729,80.35,Collection not met
Caspera,Action,Spanish,45375,Japan,76.34,435.46,1894,7,30,222554,37.09,Collection not met
Star Wars: Episode III - Revenge of the Sitha,Animation,Japanese,45489,China,127.32,435.29,4086,5.2,97,139599,58.17,Collection not met
Men in Blacka,Thriller,Spanish,42970,Germany,214.33,433.98,3342,4.1,40,413189,28.76,Collection not met
The Place Beyond the Pinesa,Animation,Telugu,40808,UK,57.45,432.6,1026,9.2,36,52104,22.9,Collection not met
The Last Sin Eatera,Thriller,Hindi,43738,UK,132.92,432.47,4952,7.2,26,19720,61.44,Collection not met
In Her Line of Firea,Drama,French,41709,South Korea,211.96,432.14,911,6.5,30,61875,78.7,Collection not met
Bride & Prejudicea,Adventure,Korean,45549,Japan,128.75,432.11,4610,5,48,284641,13.37,Collection not met
An Everlasting Piecea,Drama,Korean,45108,USA,210.08,430.47,2771,10,84,189999,22.45,Collection not met
Groundhog Daya,Horror,Japanese,44998,South Korea,122.19,430.43,797,8.2,68,163614,45.85,Collection not met
Boat Tripa,Romance,Chinese,44496,Germany,105.38,429.88,2816,7.9,81,49688,29.48,Collection not met
The Mana,Horror,Korean,42007,South Korea,54.06,429.56,2611,5.9,40,406233,25.34,Collection not met
8 Heads in a Duffel Baga,Animation,French,42184,Japan,242.46,429.03,4455,8.8,39,235247,87.88,Collection not met
The Remains of the Daya,Adventure,Tamil,45568,UK,27.52,428.46,2878,9,85,429300,8.96,Collection not met
Baby Mamaa,Sci-Fi,Tamil,45601,USA,140.94,428.13,3946,8.5,68,285995,18.66,Collection not met
Sleepovera,Action,Spanish,40897,France,159.09,427.62,4660,7.1,68,382723,28.35,Collection not met
Eagle Eyea,Action,German,43052,South Korea,3.89,427.55,2790,8.1,39,27626,1.86,Collection not met
Race to Witch Mountaina,Romance,Japanese,41324,Japan,249.75,427.52,2259,8.7,73,459145,53.99,Collection not met
The Best Years of Our Livesa,Thriller,English,42799,USA,160.42,427.39,2257,7.9,82,316768,64.54,Collection not met
Jeepers Creepers IIa,Adventure,Spanish,45622,Germany,220.34,426.58,1401,5.8,43,491966,102.96,Collection not met
3 Days to Killa,Sci-Fi,Spanish,43067,UK,101.11,426.39,2680,7.2,46,326228,43.14,Collection not met
The Matrix Revolutionsa,Animation,Telugu,43548,South Korea,191.92,426.04,4251,4.4,42,322582,46.31,Collection not met
When Did You Last See Your Father?a,Horror,Japanese,43523,Germany,200.6,425.98,1997,9.3,27,273508,80.01,Collection not met
Lucky Numbersa,Comedy,Japanese,40575,France,24.22,424.12,835,7.2,52,285402,6.88,Collection not met
Akiraa,Thriller,French,42540,Germany,165.56,423.58,3502,5.6,39,269390,21.46,Collection not met
Little Miss Sunshinea,Horror,French,42854,China,122.32,422.84,4641,8.5,83,337183,46.59,Collection not met
The Incredibly True Adventure of Two Girls in Lovea,Animation,English,42107,South Korea,286.77,422.8,1136,7.9,37,368490,103.9,Collection not met
The Perfect Mana,Drama,English,44563,France,101.8,422.55,4740,8.4,32,489471,11.08,Collection not met
Spherea,Comedy,Tamil,41761,India,146.95,422.23,4155,4.8,90,129889,50.77,Collection not met
All About the Benjaminsa,Romance,Tamil,42086,China,110.3,421.99,1154,7.7,39,463449,37.62,Collection not met
The Adventures of Huck Finna,Adventure,Hindi,43299,USA,242.43,421.92,4310,7.8,97,143595,30.5,Collection not met
The Readera,Horror,Japanese,43188,France,76.31,421.92,536,4.5,50,357148,9.04,Collection not met
Blue Streaka,Action,Chinese,43680,Japan,162,421.76,3713,9.3,56,360825,26.79,Collection not met
Drive Me Crazya,Action,Tamil,42666,Japan,222.49,420.68,1656,6,91,134412,91.48,Collection not met
Tears of the Suna,Thriller,Tamil,41736,Germany,200.4,420.25,524,7.9,98,157575,34.49,Collection not met
Mo' Better Bluesa,Sci-Fi,Tamil,42900,India,177.81,420.18,2032,8,67,304099,71.74,Collection not met
Dickie Roberts: Former Child Stara,Thriller,Tamil,44236,South Korea,59.61,417.92,4658,6.7,22,345772,22.53,Collection not met
The Spanish Prisonera,Thriller,French,44436,Japan,7.19,417.61,631,4.2,90,361365,2.48,Collection not met
Lady Vengeancea,Adventure,Hindi,43375,USA,143.31,417.53,979,8.4,58,246894,61.9,Collection not met
Ghost Worlda,Comedy,Japanese,43504,USA,83.73,417.45,1244,4.4,56,119050,28.1,Collection not met
Along Came Pollya,Sci-Fi,Chinese,40579,France,102.74,417.19,1959,9.2,92,314108,34.69,Collection not met
The Greya,Animation,Japanese,40627,South Korea,231.35,416.33,1678,9.6,23,307975,78.52,Collection not met
Invaders from Marsa,Sci-Fi,Spanish,44119,India,175.15,416.17,1471,8.4,47,391955,46.04,Collection not met
Fight Cluba,Adventure,Japanese,45536,France,234.28,416.08,2376,7.7,66,30849,103.39,Collection not met
Teenage Mutant Ninja Turtlesa,Sci-Fi,Telugu,44879,USA,160.66,415.91,3589,7.9,93,245068,22.65,Collection not met
Spaceballsa,Thriller,Japanese,41721,South Korea,210.57,415.83,1702,5.4,60,268051,54.63,Collection not met
Penguins of Madagascara,Sci-Fi,Chinese,44954,UK,235.06,415.73,4835,9.9,43,481752,98.51,Collection not met
Remember the Titansa,Comedy,Japanese,40931,South Korea,171.21,415.34,4762,4.9,37,388197,70.8,Collection not met
The Little Princea,Adventure,Spanish,42368,USA,30.36,414.98,2184,6.4,42,149731,12.17,Collection not met
Mission to Marsa,Comedy,Tamil,44134,France,77.43,413.98,3412,4.9,91,295099,37.8,Collection not met
Dolphin Tale 2a,Drama,Tamil,42659,Japan,292.93,413.61,1105,5.9,42,199750,118.22,Collection not met
3 Strikesa,Sci-Fi,Tamil,40235,China,137.15,413.25,2527,7.4,45,496824,31.92,Collection not met
Son of the Maska,Romance,Spanish,42775,UK,292.75,413,1080,8.1,55,86508,127.87,Collection not met
Real Women Have Curvesa,Adventure,Japanese,44107,Germany,188.18,412.75,1118,5.4,99,463327,78.75,Collection not met
Straw Dogsa,Adventure,English,40840,China,122.83,412.05,3303,5.7,28,68148,50.2,Collection not met
Sunshine Cleaninga,Action,Telugu,44570,Germany,147.44,410.91,857,7,79,93175,29.66,Collection not met
True Romancea,Adventure,Spanish,43299,South Korea,262.17,410.77,1618,6.9,37,317526,38.01,Collection not met
The Replacement Killersa,Adventure,French,42715,South Korea,296.34,410.31,3155,5.4,31,173363,115.6,Collection not met
Sense and Sensibilitya,Action,English,40419,France,137.43,410.05,1398,6.3,84,148464,62.55,Collection not met
Bulwortha,Adventure,French,40421,Japan,156.22,409.44,2016,9.9,46,173172,21.98,Collection not met
Raising Victor Vargasa,Sci-Fi,Japanese,44991,USA,58.08,409.17,1259,8.2,50,483794,27.48,Collection not met
Amen.a,Romance,Hindi,40906,China,73.14,408.42,611,5.7,83,45068,23.9,Collection not met
White Squalla,Horror,Chinese,40884,India,66.12,408.3,897,8.2,28,218065,9.46,Collection not met
Cheaper by the Dozena,Romance,German,40235,USA,247.31,407.93,1534,4.2,61,494171,121.68,Collection not met
American Outlawsa,Romance,Korean,40946,Germany,297.59,407.77,906,7.9,47,478826,111.76,Collection not met
The Lawnmower Mana,Animation,French,43811,Japan,47.04,407.54,908,4.2,64,99339,11.15,Collection not met
The Last Stationa,Horror,Telugu,42016,China,12.75,406.23,3485,9.4,93,118960,5.86,Collection not met
Babylon A.D.a,Thriller,Hindi,40582,USA,30.03,405.74,3383,9.7,61,270049,3.45,Collection not met
Roara,Adventure,Korean,44403,UK,104.65,405.54,2557,6.6,81,460984,13.22,Collection not met
The Kida,Action,English,43844,USA,282.14,405.37,1989,4.9,35,219748,120.83,Collection not met
The Islanda,Animation,Chinese,42676,UK,191.61,405.19,639,4.8,96,250059,55.02,Collection not met
Evan Almightya,Horror,English,40583,Germany,229.08,404.56,3704,6.4,96,224113,47.69,Collection not met
The Glass Housea,Sci-Fi,Hindi,40816,USA,183.08,404.54,4148,7,88,74173,27.24,Collection not met
Renaissance Mana,Drama,French,40608,India,133.16,404.54,3190,6.6,78,27920,61.25,Collection not met
The Piratea,Drama,French,41223,UK,280.24,403.21,4615,4.3,41,376794,113.26,Collection not met
Tea with Mussolinia,Comedy,French,43065,Japan,95.61,402.97,2283,7.9,84,417245,47.05,Collection not met
Paranormal Activity: The Marked Onesa,Drama,Hindi,40786,Japan,178.1,402.93,826,5.9,70,6168,65.02,Collection not met
Half Nelsona,Romance,Tamil,44423,South Korea,15.52,402.9,1340,4.2,29,180293,6.83,Collection not met
Final Fantasy: The Spirits Withina,Adventure,German,43267,UK,37.62,402.49,1925,9.1,77,342307,9.65,Collection not met
Straight Out of Brooklyna,Horror,Korean,45028,Japan,209.3,401.98,3155,9.1,91,358817,92.26,Collection not met
Bad Teachera,Romance,Spanish,42437,South Korea,157.88,401.89,2099,9.6,81,31746,67.43,Collection not met
Jefferson in Parisa,Animation,Japanese,43802,Germany,277.81,401.7,3560,9.5,98,109963,126.03,Collection not met
She's Out of My Leaguea,Adventure,Korean,44241,India,291.84,401.65,4613,4.3,34,137312,124.84,Collection not met
The Possessiona,Horror,German,40492,UK,32.23,401.53,4644,5.5,78,1566,11.7,Collection not met
The Funerala,Action,Japanese,44608,France,277.13,401.4,2493,5.7,64,119328,59.09,Collection not met
The Ant Bullya,Action,Korean,45371,USA,60.8,400.91,2624,5,41,412402,23.19,Collection not met
Spanglisha,Sci-Fi,Tamil,40381,France,125.27,400.86,4190,8.9,77,333918,29.03,Collection not met
Half Bakeda,Action,German,44659,South Korea,232.42,400.78,3802,4.6,88,212754,108.87,Collection not met
Kiss of the Dragona,Animation,Tamil,40489,South Korea,15.33,400.57,2554,8.5,85,245845,4.87,Collection not met
Marci Xa,Action,Korean,42528,India,243.32,400.37,3954,4.4,80,416841,94.87,Collection not met
The Reapinga,Drama,Telugu,40449,Germany,128.32,399.58,3234,6.1,60,123921,49.08,Collection not met
Random Heartsa,Action,French,43062,South Korea,240.8,399.2,3053,6.6,56,474919,32.6,Collection not met
Joyeux Noela,Action,Telugu,42146,India,137.99,398.62,4871,9.8,65,478058,29.31,Collection not met
Madagascar 3: Europe's Most Wanteda,Adventure,Chinese,43579,France,260.29,397.1,2209,7.4,24,166284,57.22,Collection not met
A Man Aparta,Thriller,Spanish,43716,USA,200.81,396.85,4414,4,49,136137,46.3,Collection not met
A View to a Killa,Drama,German,42256,China,55.63,396.82,4042,5.3,92,194193,20.79,Collection not met
Into the Bluea,Thriller,Japanese,43598,South Korea,239.97,396.56,3905,7.1,51,254394,86.39,Collection not met
Killersa,Horror,Japanese,41301,China,288.34,394.55,2538,7.7,46,163521,107.52,Collection not met
The General's Daughtera,Horror,Telugu,41906,Germany,266.84,393.73,4227,6,29,59810,51.15,Collection not met
The Book of Elia,Action,Japanese,45011,South Korea,96.87,393.52,1972,8.1,67,61473,48.33,Collection not met
Joyful Noisea,Romance,Japanese,45523,China,179.87,393.28,3962,7.7,35,219874,22.15,Collection not met
Splasha,Horror,Chinese,43473,Germany,111.06,391.57,1651,4.2,88,60969,23.77,Collection not met
Bringing Out the Deada,Adventure,English,40627,Germany,294.27,391.18,2332,7.7,49,219095,51.38,Collection not met
Dinera,Thriller,Korean,43443,China,24.81,390.84,1561,9.6,59,214841,7.91,Collection not met
RED 2a,Action,German,42476,China,182.04,389.65,1120,8.5,33,104810,23.23,Collection not met
Conspiracy Theorya,Adventure,Korean,43901,Germany,89.69,389.19,3717,4.9,24,276863,10.99,Collection not met
Owning Mahownya,Thriller,German,43735,Japan,254.81,388.4,3013,7.5,65,132342,75.38,Collection not met
Me and You and Everyone We Knowa,Thriller,Japanese,45176,Japan,30.38,388.31,3976,6.1,51,480557,10.65,Collection not met
Moonrise Kingdoma,Sci-Fi,Telugu,42909,France,293.95,388.14,4336,5.6,82,163325,52.84,Collection not met
